Hour,Feature,AUC
1,AirLeakFlow_Max_8h,0.47594501718213056
1,FluidOutput_Max_PerMin_8h,0.7130584192439863
2,AirLeakFlow_Max_8h,0.41580756013745707
2,FluidOutput_Max_PerMin_8h,0.5996563573883161
3,AirLeakFlow_Max_8h,0.32302405498281794
3,FluidOutput_Max_PerMin_8h,0.493127147766323
4,AirLeakFlow_Max_8h,0.36082474226804123
4,FluidOutput_Max_PerMin_8h,0.5171821305841925
5,AirLeakFlow_Max_8h,0.3539518900343643
5,FluidOutput_Max_PerMin_8h,0.49312714776632305
6,AirLeakFlow_Max_8h,0.4570446735395189
6,FluidOutput_Max_PerMin_8h,0.4776632302405498
7,AirLeakFlow_Max_8h,0.40364583333333337
7,FluidOutput_Max_PerMin_8h,0.48697916666666663
8,AirLeakFlow_Max_8h,0.4453125
8,FluidOutput_Max_PerMin_8h,0.45442708333333337
9,AirLeakFlow_Max_8h,0.46614583333333337
9,FluidOutput_Max_PerMin_8h,0.359375
10,AirLeakFlow_Max_8h,0.4609375
10,FluidOutput_Max_PerMin_8h,0.19661458333333331
11,AirLeakFlow_Max_8h,0.4973958333333333
11,FluidOutput_Max_PerMin_8h,0.14322916666666669
12,AirLeakFlow_Max_8h,0.4296875
12,FluidOutput_Max_PerMin_8h,0.21484375
13,AirLeakFlow_Max_8h,0.40364583333333337
13,FluidOutput_Max_PerMin_8h,0.11848958333333334
14,AirLeakFlow_Max_8h,0.36979166666666663
14,FluidOutput_Max_PerMin_8h,0.19140625
15,AirLeakFlow_Max_8h,0.47578947368421054
15,FluidOutput_Max_PerMin_8h,0.25263157894736843
16,AirLeakFlow_Max_8h,0.5651041666666667
16,FluidOutput_Max_PerMin_8h,0.3059895833333333
17,AirLeakFlow_Max_8h,0.4752604166666667
17,FluidOutput_Max_PerMin_8h,0.29427083333333337
18,AirLeakFlow_Max_8h,0.47656250000000006
18,FluidOutput_Max_PerMin_8h,0.33984375
19,AirLeakFlow_Max_8h,0.6013745704467354
19,FluidOutput_Max_PerMin_8h,0.3144329896907216
20,AirLeakFlow_Max_8h,0.6082474226804123
20,FluidOutput_Max_PerMin_8h,0.23711340206185566
21,AirLeakFlow_Max_8h,0.5989583333333334
21,FluidOutput_Max_PerMin_8h,0.28125
22,AirLeakFlow_Max_8h,0.5390625
22,FluidOutput_Max_PerMin_8h,0.3645833333333333
23,AirLeakFlow_Max_8h,0.484375
23,FluidOutput_Max_PerMin_8h,0.2890625
24,AirLeakFlow_Max_8h,0.42447916666666663
24,FluidOutput_Max_PerMin_8h,0.32682291666666663
25,AirLeakFlow_Max_8h,0.5354609929078014
25,FluidOutput_Max_PerMin_8h,0.36170212765957444
26,AirLeakFlow_Max_8h,0.3906810035842294
26,FluidOutput_Max_PerMin_8h,0.3584229390681003
27,AirLeakFlow_Max_8h,0.4014336917562724
27,FluidOutput_Max_PerMin_8h,0.3817204301075268
28,AirLeakFlow_Max_8h,0.5072463768115942
28,FluidOutput_Max_PerMin_8h,0.37318840579710144
29,AirLeakFlow_Max_8h,0.5054945054945055
29,FluidOutput_Max_PerMin_8h,0.38278388278388276
30,AirLeakFlow_Max_8h,0.5185185185185185
30,FluidOutput_Max_PerMin_8h,0.4037037037037037
31,AirLeakFlow_Max_8h,0.4518518518518518
31,FluidOutput_Max_PerMin_8h,0.42777777777777776
32,AirLeakFlow_Max_8h,0.6797752808988764
32,FluidOutput_Max_PerMin_8h,0.4550561797752809
33,AirLeakFlow_Max_8h,0.4941860465116279
33,FluidOutput_Max_PerMin_8h,0.45930232558139533
34,AirLeakFlow_Max_8h,0.5176470588235295
34,FluidOutput_Max_PerMin_8h,0.48529411764705876
35,AirLeakFlow_Max_8h,0.5117647058823529
35,FluidOutput_Max_PerMin_8h,0.5029411764705882
36,AirLeakFlow_Max_8h,0.35294117647058826
36,FluidOutput_Max_PerMin_8h,0.5058823529411764
37,AirLeakFlow_Max_8h,0.6726190476190477
37,FluidOutput_Max_PerMin_8h,0.37500000000000006
38,AirLeakFlow_Max_8h,0.49397590361445787
38,FluidOutput_Max_PerMin_8h,0.3674698795180723
39,AirLeakFlow_Max_8h,0.5060240963855421
39,FluidOutput_Max_PerMin_8h,0.3795180722891566
56,AirLeakFlow_Max_8h,0.7421875
56,FluidOutput_Max_PerMin_8h,0.7109375
57,AirLeakFlow_Max_8h,0.5403225806451613
57,FluidOutput_Max_PerMin_8h,0.5887096774193548
58,AirLeakFlow_Max_8h,0.5423387096774193
58,FluidOutput_Max_PerMin_8h,0.5745967741935484
59,AirLeakFlow_Max_8h,0.3709016393442623
59,FluidOutput_Max_PerMin_8h,0.5860655737704918
60,AirLeakFlow_Max_8h,0.45
60,FluidOutput_Max_PerMin_8h,0.5706896551724138
61,AirLeakFlow_Max_8h,0.3614035087719299
61,FluidOutput_Max_PerMin_8h,0.5912280701754385
62,AirLeakFlow_Max_8h,0.3298245614035088
62,FluidOutput_Max_PerMin_8h,0.5140350877192983
63,AirLeakFlow_Max_8h,0.35555555555555557
63,FluidOutput_Max_PerMin_8h,0.6166666666666667
64,AirLeakFlow_Max_8h,0.3522012578616352
64,FluidOutput_Max_PerMin_8h,0.5157232704402516
65,AirLeakFlow_Max_8h,0.5993589743589743
65,FluidOutput_Max_PerMin_8h,0.5496794871794872
66,AirLeakFlow_Max_8h,0.6602564102564102
66,FluidOutput_Max_PerMin_8h,0.6666666666666666
67,AirLeakFlow_Max_8h,0.6538461538461539
67,FluidOutput_Max_PerMin_8h,0.6538461538461539
68,AirLeakFlow_Max_8h,0.6302521008403361
68,FluidOutput_Max_PerMin_8h,0.7044817927170869
69,AirLeakFlow_Max_8h,0.6028571428571429
69,FluidOutput_Max_PerMin_8h,0.6285714285714284
70,AirLeakFlow_Max_8h,0.5971428571428571
70,FluidOutput_Max_PerMin_8h,0.5642857142857143
71,AirLeakFlow_Max_8h,0.5638297872340425
71,FluidOutput_Max_PerMin_8h,0.5984042553191489
72,AirLeakFlow_Max_8h,0.5760869565217391
72,FluidOutput_Max_PerMin_8h,0.6671195652173912
73,AirLeakFlow_Max_8h,0.4701086956521739
73,FluidOutput_Max_PerMin_8h,0.6820652173913043
74,AirLeakFlow_Max_8h,0.375
74,FluidOutput_Max_PerMin_8h,0.6616847826086957
75,AirLeakFlow_Max_8h,0.25555555555555554
75,FluidOutput_Max_PerMin_8h,0.6
76,AirLeakFlow_Max_8h,0.3595238095238096
76,FluidOutput_Max_PerMin_8h,0.6595238095238095
77,AirLeakFlow_Max_8h,0.3547619047619048
77,FluidOutput_Max_PerMin_8h,0.6190476190476191
78,AirLeakFlow_Max_8h,0.4613636363636363
78,FluidOutput_Max_PerMin_8h,0.6352272727272728
79,AirLeakFlow_Max_8h,0.43779904306220097
79,FluidOutput_Max_PerMin_8h,0.6244019138755982
