Hour,Feature,Group,Mean,Std
0,AirLeakFlow,NotRemoved,93.429,667.958
0,AirLeakFlow,Removed,34.573,337.57
0,LOWESSFluidOutput,NotRemoved,5.339,5.186
0,LOWESSFluidOutput,Removed,6.488,5.479
0,MeasuredPleuralPressure,NotRemoved,1.398,0.481
0,MeasuredPleuralPressure,Removed,1.386,0.512
1,AirLeakFlow,NotRemoved,50.263,520.884
1,AirLeakFlow,Removed,90.454,671.156
1,LOWESSFluidOutput,NotRemoved,11.386,10.63
1,LOWESSFluidOutput,Removed,12.937,11.151
1,MeasuredPleuralPressure,NotRemoved,1.422,0.493
1,MeasuredPleuralPressure,Removed,1.376,0.495
2,AirLeakFlow,NotRemoved,95.537,685.841
2,AirLeakFlow,Removed,110.161,747.588
2,LOWESSFluidOutput,NotRemoved,14.006,14.211
2,LOWESSFluidOutput,Removed,17.375,16.342
2,MeasuredPleuralPressure,NotRemoved,1.433,0.5
2,MeasuredPleuralPressure,Removed,1.388,0.506
3,AirLeakFlow,NotRemoved,34.664,380.226
3,AirLeakFlow,Removed,112.675,743.381
3,LOWESSFluidOutput,NotRemoved,17.928,15.436
3,LOWESSFluidOutput,Removed,20.546,20.302
3,MeasuredPleuralPressure,NotRemoved,1.428,0.492
3,MeasuredPleuralPressure,Removed,1.382,0.504
4,AirLeakFlow,NotRemoved,90.032,686.798
4,AirLeakFlow,Removed,73.516,572.191
4,LOWESSFluidOutput,NotRemoved,18.729,18.423
4,LOWESSFluidOutput,Removed,22.907,22.949
4,MeasuredPleuralPressure,NotRemoved,1.41,0.476
4,MeasuredPleuralPressure,Removed,1.388,0.495
5,AirLeakFlow,NotRemoved,51.157,432.496
5,AirLeakFlow,Removed,83.583,661.71
5,LOWESSFluidOutput,NotRemoved,19.34,21.255
5,LOWESSFluidOutput,Removed,23.811,26.071
5,MeasuredPleuralPressure,NotRemoved,1.431,0.483
5,MeasuredPleuralPressure,Removed,1.38,0.5
6,AirLeakFlow,NotRemoved,71.473,586.464
6,AirLeakFlow,Removed,81.281,625.823
6,LOWESSFluidOutput,NotRemoved,20.955,24.157
6,LOWESSFluidOutput,Removed,25.857,28.109
6,MeasuredPleuralPressure,NotRemoved,1.417,0.484
6,MeasuredPleuralPressure,Removed,1.393,0.494
7,AirLeakFlow,NotRemoved,31.041,369.312
7,AirLeakFlow,Removed,124.794,796.142
7,LOWESSFluidOutput,NotRemoved,20.022,26.006
7,LOWESSFluidOutput,Removed,26.971,30.006
7,MeasuredPleuralPressure,NotRemoved,1.4,0.479
7,MeasuredPleuralPressure,Removed,1.39,0.496
8,AirLeakFlow,NotRemoved,34.261,369.684
8,AirLeakFlow,Removed,37.349,386.794
8,LOWESSFluidOutput,NotRemoved,20.228,28.938
8,LOWESSFluidOutput,Removed,28.008,31.723
8,MeasuredPleuralPressure,NotRemoved,1.424,0.487
8,MeasuredPleuralPressure,Removed,1.388,0.497
